library,target,variant_class,EC50_C68_61,sd_EC50_C68_61,n_bc_EC50_C68_61,EC50_C68_183,sd_EC50_C68_183,n_bc_EC50_C68_183,EC50_C68_185,sd_EC50_C68_185,n_bc_EC50_C68_185,EC50_C68_3,sd_EC50_C68_3,n_bc_EC50_C68_3,EC50_C68_10,sd_EC50_C68_10,n_bc_EC50_C68_10,EC50_C68_88,sd_EC50_C68_88,n_bc_EC50_C68_88,EC50_C68_201,sd_EC50_C68_201,n_bc_EC50_C68_201,EC50_C68_239,sd_EC50_C68_239,n_bc_EC50_C68_239,EC50_C68_490,sd_EC50_C68_490,n_bc_EC50_C68_490,expr,delta_expr
lib61_SARSr-wts,PDF-2370,wildtype,0.2693,0.12218,93,8.16012,0.13514,178,0.67758,0.19942,90,79351.32385,0.18552,180,94291.67626,0.08847,180,13.1317,0.14601,180,13.18683,0.12309,173,5.73594,0.10737,178,0.22467,0.10713,178,NA,NA
lib61_SARSr-wts,Khosta-1,wildtype,0.22163,0.09927,104,4.08104,0.0783,211,0.49622,0.21626,129,76361.599,0.20611,212,89619.88563,0.12618,208,6.35796,0.13148,208,21.83915,0.13636,203,17.65581,0.14567,198,0.24103,0.11931,198,NA,NA
lib61_SARSr-wts,Khosta-2,wildtype,19659.3227,0.30541,298,276.737,0.24995,321,1.59538,0.13688,282,56.42015,0.13942,323,94761.11686,0.07396,329,9.17545,0.14014,329,93187.64314,0.09266,325,2377.70063,0.33583,325,0.49618,0.12772,334,NA,NA
lib61_SARSr-wts,RhGB01,wildtype,90746.79649,0.11204,277,71448.48747,0.20815,305,269.79075,0.41528,270,70227.3083,0.21341,304,94806.84889,0.07383,304,1578.47019,0.29666,300,146.71203,0.18309,295,93269.32904,0.09606,307,3.15258,0.06319,307,NA,NA
lib61_SARSr-wts,RhGB03,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,1e+05,0,3,1e+05,0,3,131.25183,0.06742,3,1e+05,0,3,2.47209,0.03098,3,NA,NA
lib61_SARSr-wts,RhGB02_230B,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,1e+05,0,2,1e+05,0,2,118.6885,0.00145,2,1e+05,0,2,2.83307,0.00024,2,NA,NA
lib61_SARSr-wts,RsYN04,wildtype,6.79831,0.13881,226,4819.90472,0.33228,221,1.77392,0.13181,197,79222.61785,0.18741,223,95137.86129,0.06762,222,5.51634,0.09892,217,94498.3926,0.07248,213,77199.25216,0.19441,220,0.35015,0.12275,214,NA,NA
lib61_SARSr-wts,AncAsia_MAP,wildtype,0.30058,0.1816,98,13.08202,0.1705,235,0.86498,0.20505,163,16420.30914,0.28532,221,0.58613,0.18576,163,2.23695,0.1166,214,0.34859,0.14853,222,0.40787,0.13881,180,0.23736,0.12646,225,10.1137,-0.0373
lib61_SARSr-wts,AncAsia_alt,wildtype,0.23193,0.15435,108,29.35992,0.23174,197,1.20566,0.18918,148,76804.72998,0.19239,191,30.54474,0.16892,197,1.51147,0.10645,182,0.22146,0.09785,194,0.34962,0.10815,154,0.22203,0.11896,194,9.8702,-0.2808
lib61_SARSr-wts,AncAsia_tree1,wildtype,0.26671,0.21767,73,11.79437,0.1584,123,0.84388,0.20749,87,2849.7395,0.32035,116,1.91001,0.14002,122,2.45185,0.11877,118,0.37818,0.15418,109,5.06118,0.13269,122,0.23562,0.1133,115,9.9809,-0.1701
lib61_SARSr-wts,AncAsia_tree2,wildtype,0.29226,0.1846,106,30.02255,0.2191,202,1.07436,0.19256,163,16439.68688,0.26974,210,0.4442,0.16927,136,2.10694,0.13046,202,0.33713,0.14922,199,0.40112,0.12454,163,0.2441,0.13119,196,10.1478,-0.0032
lib61_SARSr-wts,AncSARS2a_MAP,wildtype,0.20927,0.11958,121,3.92526,0.07797,296,1.4291,0.17116,251,1.35349,0.17183,230,0.26698,0.12371,177,1.55601,0.12375,272,0.25293,0.12442,286,0.23703,0.10661,189,0.22266,0.1117,293,10.2742,0.1232
lib61_SARSr-wts,AncSARS2a_alt,wildtype,0.2067,0.10115,68,4.05596,0.07481,138,1.13881,0.16167,107,1.14042,0.23463,90,0.49517,0.15997,75,2.14315,0.1287,137,0.41189,0.1355,139,0.46245,0.16916,119,0.33772,0.1556,135,8.8719,-1.2791
lib61_SARSr-wts,AncSARS2c_MAP,wildtype,0.20953,0.11009,151,4.09246,0.08575,306,1.52383,0.16651,265,1.72474,0.14056,256,0.27742,0.11633,168,1.09569,0.12792,270,0.25165,0.1019,294,0.23703,0.0942,203,0.21275,0.10565,286,10.2076,0.0566
lib61_SARSr-wts,SARS-CoV-2_WH1,wildtype,0.19286,0.10482,100,3.36271,0.09063,198,1.24124,0.16611,148,2.45791,0.13179,193,0.25429,0.10788,100,0.28108,0.10941,151,0.20902,0.09619,203,0.1565,0.05552,91,0.16879,0.07685,197,10.162,0.011
lib61_SARSr-wts,SARS-CoV-2_Alpha,wildtype,0.19766,0.10015,177,3.66398,0.08559,348,1.33948,0.1698,264,3.11241,0.11122,342,0.2782,0.12928,169,0.39143,0.14885,224,0.26312,0.1297,267,0.16853,0.10344,145,0.17413,0.09907,286,NA,NA
lib61_SARSr-wts,SARS-CoV-2_Beta,wildtype,0.1938,0.11474,117,3.27937,0.11267,234,0.86582,0.23191,162,0.23265,0.1377,115,0.24221,0.13082,90,0.36408,0.14452,137,0.21464,0.12951,185,0.16041,0.08529,71,0.16836,0.08162,183,NA,NA
lib61_SARSr-wts,SARS-CoV-2_Delta,wildtype,0.2008,0.10289,124,3.82183,0.09106,252,0.93719,0.19386,162,0.3699,0.16694,137,0.26429,0.12654,112,0.35896,0.14351,154,0.21763,0.11739,196,0.16323,0.08827,85,0.17628,0.08884,212,NA,NA
lib61_SARSr-wts,SARS-CoV-2_Omicron-BA1,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0.39301,0.02172,3,1e+05,0,4,0.37142,0.01459,4,1e+05,0,4,0.28575,0.00977,4,NA,NA
lib61_SARSr-wts,SARS-CoV-2_Omicron-BA2,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0.24012,0.00126,2,1e+05,0,5,0.24542,0.0065,5,1e+05,0,5,0.5497,0.00964,5,NA,NA
lib61_SARSr-wts,SARS-CoV-2_Omicron-BA5,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0.18495,NA,1,1e+05,0,3,0.18721,0.01311,3,1e+05,0,3,0.27109,0.00867,3,NA,NA
lib61_SARSr-wts,SARS-CoV-2_Omicron-BQ11,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,1e+05,0,5,0.17694,0.00447,5,1e+05,0,5,0.24612,0.01798,5,NA,NA
lib61_SARSr-wts,SARS-CoV-2_Omicron-XBB15,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,1e+05,0,5,0.18376,0.00566,5,1e+05,0,5,0.29631,0.0152,5,NA,NA
lib61_SARSr-wts,BtSY2-RmCX02,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0.30829,0.01291,3,1.66829,0.0126,3,0.29199,0.00185,3,0.18157,NA,1,0.22221,0.00726,3,NA,NA
lib61_SARSr-wts,BANAL-20-103,wildtype,0.21988,0.09683,122,4.11978,0.07523,239,1.52656,0.16106,200,1.7583,0.12846,205,0.25845,0.10697,144,1.07986,0.13509,211,0.23371,0.1064,225,0.27639,0.11986,160,0.19805,0.09856,229,NA,NA
