library,target,variant_class,EC50_C68_61,sd_EC50_C68_61,n_bc_EC50_C68_61,EC50_C68_183,sd_EC50_C68_183,n_bc_EC50_C68_183,EC50_C68_185,sd_EC50_C68_185,n_bc_EC50_C68_185,EC50_C68_3,sd_EC50_C68_3,n_bc_EC50_C68_3,EC50_C68_10,sd_EC50_C68_10,n_bc_EC50_C68_10,EC50_C68_88,sd_EC50_C68_88,n_bc_EC50_C68_88,EC50_C68_201,sd_EC50_C68_201,n_bc_EC50_C68_201,EC50_C68_239,sd_EC50_C68_239,n_bc_EC50_C68_239,EC50_C68_490,sd_EC50_C68_490,n_bc_EC50_C68_490,expr,delta_expr
lib61_SARSr-wts,SARS-CoV-1_HGZ8L1-A_HP03E,wildtype,1.13458,0.2162,145,5.6188,0.13352,212,0.47948,0.22816,131,78844.85568,0.18924,200,91979.46098,0.10249,198,2.39473,0.10273,191,11243.7724,0.30296,171,12.7592,0.17584,196,0.22472,0.1187,190,10.0928,-0.0582
lib61_SARSr-wts,SARS-CoV-1_GD01_HP03L,wildtype,1.35826,0.16811,116,4.99855,0.11888,150,0.50583,0.25978,84,76951.33255,0.20675,156,98163.5418,0.03717,152,2.99583,0.08133,154,89178.52246,0.11345,151,42.57967,0.19202,148,0.27839,0.12879,151,9.7056,-0.4454
lib61_SARSr-wts,SARS-CoV-1_PC4-127_PC04,wildtype,1.04119,0.20153,201,5.27836,0.12758,305,0.46852,0.20699,197,70771.36793,0.23817,301,93798.19432,0.07732,295,1.5068,0.12347,285,9956.28449,0.32531,279,6.26868,0.15666,302,0.22801,0.11819,301,9.9378,-0.2132
lib61_SARSr-wts,SARS-CoV-1_PC4-13_PC04,wildtype,1.01531,0.24272,169,6.1271,0.14137,261,0.49507,0.21589,138,74646.68648,0.20038,259,92847.98623,0.09113,270,1.18006,0.11856,250,2270.80958,0.34672,255,6.48789,0.13815,269,0.20811,0.10785,267,10.1819,0.0309
lib61_SARSr-wts,SARS-CoV-1_PC4-137_PC04,wildtype,0.97039,0.1987,132,5.49433,0.11664,240,0.45295,0.20595,145,76755.98434,0.198,235,93073.99744,0.09223,215,1.20808,0.1315,213,4283.95425,0.36122,211,5.8076,0.13921,214,0.21336,0.11236,217,10.1928,0.0418
lib61_SARSr-wts,SARS-CoV-1_GD03T0013_HP04,wildtype,1.16794,0.2015,204,5.48133,0.13519,272,0.51613,0.21078,167,72190.50466,0.21856,270,87122.17778,0.13895,260,1.68694,0.11509,254,13044.95897,0.30193,248,7.21353,0.15174,261,0.23034,0.11935,258,10.2122,0.0612
lib61_SARSr-wts,SARS-CoV-1_GZ0402_HP04,wildtype,1.92715,0.13264,151,5.34162,0.13946,164,0.73767,0.22715,104,69468.22584,0.22793,166,92592.01322,0.09222,169,2.83236,0.08513,158,81203.9132,0.17061,162,32.36007,0.16799,164,0.34938,0.13038,163,9.4512,-0.6998
lib61_SARSr-wts,SARS-CoV-1_SZ1_PC03,wildtype,1.03297,0.20641,135,5.23966,0.11787,218,0.42477,0.18351,137,75145.94282,0.2073,227,91842.38196,0.09951,222,1.36638,0.1279,198,10106.33697,0.30409,207,9.61031,0.17208,210,0.22452,0.11061,209,10.1745,0.0235
lib61_SARSr-wts,YN2020B,wildtype,4.66911,0.12819,306,4.22161,0.08348,298,1.73246,0.14122,267,74688.87304,0.19615,297,93220.5101,0.09714,283,3.76314,0.0774,282,16.40343,0.14493,293,31.79199,0.14857,280,0.25514,0.11884,278,NA,NA
lib61_SARSr-wts,LYRa11,wildtype,1.36887,0.18694,93,8.23354,0.15493,115,0.54292,0.24297,64,75498.51419,0.21232,125,88635.37479,0.13682,119,0.97121,0.12737,105,4202.08991,0.34795,103,2.88472,0.14558,114,0.2446,0.11995,114,10.1431,-0.0079
lib61_SARSr-wts,WIV1,wildtype,1.50258,0.16925,202,6.63334,0.13781,245,0.49979,0.21599,138,70207.62342,0.21847,251,91734.869,0.10435,229,1.32873,0.1332,217,6049.39671,0.35167,218,4.9343,0.13474,237,0.21502,0.1098,226,10.2012,0.0502
lib61_SARSr-wts,Rs7327,wildtype,1.30103,0.18364,199,7.73187,0.15634,252,0.4212,0.20107,155,72045.63305,0.21777,251,92608.89807,0.08958,246,1.28596,0.12847,225,2061.29228,0.38869,226,5.10415,0.1421,238,0.20818,0.10832,235,10.2556,0.1046
lib61_SARSr-wts,Rs4231,wildtype,4.35014,0.14946,329,4.17906,0.09715,309,1.63142,0.17961,262,70581.87442,0.22804,315,90907.50845,0.10734,306,2.07367,0.11912,299,9.50909,0.13084,299,4.21384,0.11786,301,0.20473,0.11409,294,10.2211,0.0701
lib61_SARSr-wts,RsSHC014,wildtype,4.22514,0.13983,171,4.30144,0.1034,162,1.6702,0.17847,137,70623.51878,0.20966,161,92380.13054,0.10502,151,2.29837,0.11802,146,10.637,0.14031,147,4.22036,0.12384,151,0.21478,0.12787,145,10.2843,0.1333
lib61_SARSr-wts,Rs4084,wildtype,4.28959,0.1317,217,4.27526,0.09498,207,1.63321,0.16929,177,77084.77446,0.19273,203,90761.1445,0.11899,200,2.23005,0.1079,194,10.02087,0.13782,200,4.78684,0.12452,203,0.20329,0.10464,198,10.2938,0.1428
lib61_SARSr-wts,BtSY1-RtLS01,wildtype,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,1e+05,0,3,2.35806,0.01421,3,10.09938,0.01667,3,4.7293,0.00996,3,0.21502,0.00167,3,NA,NA
lib61_SARSr-wts,AncClade2_MAP,wildtype,0.27631,0.18478,73,225.76285,0.34504,108,1.06151,0.16996,82,67872.67122,0.2187,114,85058.75531,0.14387,113,1.94556,0.12003,107,0.28853,0.13309,108,92863.33241,0.09577,112,0.30089,0.14898,113,10.1347,-0.0163
